experiment,geometry,target,feature,pearson_r,p_value,significant,direction,n
HP,base,Prompt,isolation_std,,,False,-,100
HP,base,Prompt,isolation_max,,,False,-,100
HP,base,Prompt,isolation_min,,,False,-,100
HP,base,Prompt,cluster_compactness_mean,,,False,-,100
HP,base,Prompt,cluster_compactness_std,,,False,-,100
HP,base,Prompt,cluster_compactness_max,,,False,-,100
HP,base,Prompt,cluster_compactness_min,,,False,-,100
HP,base,Prompt,cross_layer_consistency_mean,0.11714820785561368,0.2457413799319549,False,+,100
HP,base,Prompt,cross_layer_consistency_std,0.1273448595400319,0.20673815777569893,False,+,100
HP,base,Prompt,cross_layer_consistency_max,0.11714820785561368,0.2457413799319549,False,+,100
HP,base,Prompt,cross_layer_consistency_min,0.11714820785561368,0.2457413799319549,False,+,100
HP,unlearned,Unlearning,local_density_mean,0.06108170618907093,0.5460419954567226,False,+,100
HP,unlearned,Unlearning,local_density_std,0.05197922860502984,0.6075284473512526,False,+,100
HP,unlearned,Unlearning,local_density_max,0.06355141951035127,0.5298993571982408,False,+,100
HP,unlearned,Unlearning,local_density_min,0.03974539708581938,0.6946059369999608,False,+,100
HP,unlearned,Unlearning,separability_mean,-0.12576613951577206,0.2124683896528806,False,-,100
HP,unlearned,Unlearning,separability_std,-0.243031631452697,0.014833922786195611,True,-,100
HP,unlearned,Unlearning,separability_max,-0.13350357238716223,0.1854408914280227,False,-,100
HP,unlearned,Unlearning,separability_min,-0.032219604986604505,0.7503120833066207,False,-,100
HP,unlearned,Unlearning,centrality_mean,-0.035351177504671885,0.7269568609051356,False,-,100
HP,unlearned,Unlearning,centrality_std,0.12555389295074532,0.21324730407102183,False,+,100
HP,unlearned,Unlearning,centrality_max,0.08614032923603922,0.3941259782124325,False,+,100
HP,unlearned,Unlearning,centrality_min,-0.1351179996557888,0.18013226291522336,False,-,100
HP,unlearned,Unlearning,isolation_mean,,,False,-,100
HP,unlearned,Unlearning,isolation_std,,,False,-,100
HP,unlearned,Unlearning,isolation_max,,,False,-,100
HP,unlearned,Unlearning,isolation_min,,,False,-,100
HP,unlearned,Unlearning,cluster_compactness_mean,,,False,-,100
HP,unlearned,Unlearning,cluster_compactness_std,,,False,-,100
HP,unlearned,Unlearning,cluster_compactness_max,,,False,-,100
HP,unlearned,Unlearning,cluster_compactness_min,,,False,-,100
HP,unlearned,Unlearning,cross_layer_consistency_mean,-0.015383976721292502,0.8792542975410197,False,-,100
HP,unlearned,Unlearning,cross_layer_consistency_std,-0.07360499164929922,0.466745838689244,False,-,100
HP,unlearned,Unlearning,cross_layer_consistency_max,-0.015383976721292502,0.8792542975410197,False,-,100
HP,unlearned,Unlearning,cross_layer_consistency_min,-0.015383976721292502,0.8792542975410197,False,-,100
HP,unlearned,Embedding,local_density_mean,0.10981757550304574,0.27674412891718236,False,+,100
HP,unlearned,Embedding,local_density_std,-0.024490739301697203,0.808885105138439,False,-,100
HP,unlearned,Embedding,local_density_max,0.08738806784693359,0.3872861666410122,False,+,100
HP,unlearned,Embedding,local_density_min,0.12389073495855965,0.2194211697922528,False,+,100
HP,unlearned,Embedding,separability_mean,-0.10264372037376249,0.3095249140225169,False,-,100
HP,unlearned,Embedding,separability_std,-0.015860703388814394,0.8755421433390976,False,-,100
HP,unlearned,Embedding,separability_max,-0.1076511278176695,0.2863881618974709,False,-,100
HP,unlearned,Embedding,separability_min,-0.0937565210999383,0.35349912582320475,False,-,100
HP,unlearned,Embedding,centrality_mean,-0.048997742326569976,0.6283091304096664,False,-,100
HP,unlearned,Embedding,centrality_std,0.05520961818130937,0.5853606237879807,False,+,100
HP,unlearned,Embedding,centrality_max,0.08491280921374669,0.40092470172991507,False,+,100
