experiment,geometry,target,model,n_features,cv_r2_mean,cv_r2_std,top_features,n_samples
TOFU_grad_ascent,base,Unlearning,Ridge,24,-0.010526315789473717,0.021052631578947434,"[('separability_mean', -0.04383445739487665), ('separability_max', 0.03242782926505598), ('local_density_max', 0.021900575736102743), ('centrality_max', -0.020525495875647), ('local_density_mean', -0.01522723210629297)]",100
TOFU_grad_ascent,base,Unlearning,Lasso,24,-0.010526315789473717,0.021052631578947434,"[('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
TOFU_grad_ascent,base,Unlearning,RandomForest,24,0.3894736842105263,0.4988629730978016,"[('centrality_min', 1.0), ('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0)]",100
TOFU_grad_ascent,base,Extraction,Ridge,24,-0.011492418196328735,0.022984836392657474,"[('separability_mean', 0.04211175487847829), ('separability_max', -0.028803524768184426), ('local_density_max', -0.021222955198269243), ('centrality_max', 0.020269930879720517), ('separability_std', 0.013898999481155016)]",100
TOFU_grad_ascent,base,Extraction,Lasso,24,-0.011492418196328735,0.022984836392657474,"[('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
TOFU_grad_ascent,base,Extraction,RandomForest,24,0.3885075818036713,0.4997221600660313,"[('centrality_min', 0.7199495197557986), ('centrality_mean', 0.23346533268761402), ('separability_std', 0.04658514755658736), ('local_density_mean', 0.0), ('local_density_std', 0.0)]",100
TOFU_grad_ascent,unlearned,Unlearning,Ridge,24,-0.010526315789473717,0.021052631578947434,"[('separability_min', -0.04430814375316396), ('separability_max', 0.04122093315244002), ('separability_std', -0.025204520653808134), ('local_density_mean', 0.012464686987812102), ('cross_layer_consistency_std', 0.010632324651547575)]",100
TOFU_grad_ascent,unlearned,Unlearning,Lasso,24,-0.010526315789473717,0.021052631578947434,"[('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
TOFU_grad_ascent,unlearned,Unlearning,RandomForest,24,0.1894736842105263,0.40577547931360813,"[('local_density_max', 0.41935483870967744), ('local_density_mean', 0.3548387096774194), ('local_density_std', 0.22580645161290322), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
TOFU_grad_ascent,unlearned,Extraction,Ridge,24,-0.011492418196328735,0.022984836392657474,"[('separability_min', 0.04329778148722123), ('separability_max', -0.04080609817592636), ('separability_std', 0.024456717709741543), ('local_density_mean', -0.013240659616456173), ('local_density_min', 0.011354209148421798)]",100
TOFU_grad_ascent,unlearned,Extraction,Lasso,24,-0.011492418196328735,0.022984836392657474,"[('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
TOFU_grad_ascent,unlearned,Extraction,RandomForest,24,-0.011492418196328735,0.022984836392657474,"[('local_density_max', 0.3020135127088073), ('local_density_mean', 0.2650495701955002), ('local_density_std', 0.18030693817888124), ('local_density_min', 0.15536814694637172), ('separability_std', 0.05375024120434391)]",100
