experiment,geometry,target,feature_group,model,n_features,cv_r2_mean,cv_r2_std,n_samples
TOFU_grad_ascent,base,Extraction,compactness,LinearRegression,4,-0.011492418196328735,0.022984836392657474,100
TOFU_grad_ascent,base,Extraction,compactness,Ridge,4,-0.011492418196328735,0.022984836392657474,100
TOFU_grad_ascent,base,Extraction,consistency,LinearRegression,4,-0.011492418196328735,0.022984836392657474,100
TOFU_grad_ascent,base,Extraction,consistency,Ridge,4,-0.011492418196328735,0.022984836392657474,100
TOFU_grad_ascent,unlearned,Unlearning,density,LinearRegression,4,-0.010526315789473717,0.021052631578947434,100
TOFU_grad_ascent,unlearned,Unlearning,density,Ridge,4,-0.010526315789473717,0.021052631578947434,100
TOFU_grad_ascent,unlearned,Unlearning,separability,LinearRegression,4,-0.010526315789473717,0.021052631578947434,100
TOFU_grad_ascent,unlearned,Unlearning,separability,Ridge,4,-0.010526315789473717,0.021052631578947434,100
TOFU_grad_ascent,unlearned,Unlearning,centrality,LinearRegression,4,-0.010526315789473717,0.021052631578947434,100
TOFU_grad_ascent,unlearned,Unlearning,centrality,Ridge,4,-0.010526315789473717,0.021052631578947434,100
TOFU_grad_ascent,unlearned,Unlearning,isolation,LinearRegression,4,-0.010526315789473717,0.021052631578947434,100
TOFU_grad_ascent,unlearned,Unlearning,isolation,Ridge,4,-0.010526315789473717,0.021052631578947434,100
TOFU_grad_ascent,unlearned,Unlearning,compactness,LinearRegression,4,-0.010526315789473717,0.021052631578947434,100
TOFU_grad_ascent,unlearned,Unlearning,compactness,Ridge,4,-0.010526315789473717,0.021052631578947434,100
TOFU_grad_ascent,unlearned,Unlearning,consistency,LinearRegression,4,-0.010526315789473717,0.021052631578947434,100
TOFU_grad_ascent,unlearned,Unlearning,consistency,Ridge,4,-0.010526315789473717,0.021052631578947434,100
TOFU_grad_ascent,unlearned,Extraction,density,LinearRegression,4,-0.011492418196328735,0.022984836392657474,100
TOFU_grad_ascent,unlearned,Extraction,density,Ridge,4,-0.011492418196328735,0.022984836392657474,100
TOFU_grad_ascent,unlearned,Extraction,separability,LinearRegression,4,-0.011492418196328735,0.022984836392657474,100
TOFU_grad_ascent,unlearned,Extraction,separability,Ridge,4,-0.011492418196328735,0.022984836392657474,100
TOFU_grad_ascent,unlearned,Extraction,centrality,LinearRegression,4,-0.011492418196328735,0.022984836392657474,100
TOFU_grad_ascent,unlearned,Extraction,centrality,Ridge,4,-0.011492418196328735,0.022984836392657474,100
TOFU_grad_ascent,unlearned,Extraction,isolation,LinearRegression,4,-0.011492418196328735,0.022984836392657474,100
TOFU_grad_ascent,unlearned,Extraction,isolation,Ridge,4,-0.011492418196328735,0.022984836392657474,100
TOFU_grad_ascent,unlearned,Extraction,compactness,LinearRegression,4,-0.011492418196328735,0.022984836392657474,100
TOFU_grad_ascent,unlearned,Extraction,compactness,Ridge,4,-0.011492418196328735,0.022984836392657474,100
TOFU_grad_ascent,unlearned,Extraction,consistency,LinearRegression,4,-0.011492418196328735,0.022984836392657474,100
TOFU_grad_ascent,unlearned,Extraction,consistency,Ridge,4,-0.011492418196328735,0.022984836392657474,100
TOFU_idk,base,Unlearning,density,LinearRegression,4,-0.2732061567471274,0.2767542025466618,100
TOFU_idk,base,Unlearning,density,Ridge,4,-0.2503906279070426,0.27526875833945424,100
TOFU_idk,base,Unlearning,separability,LinearRegression,4,-0.20239931108740317,0.26197565149000646,100
TOFU_idk,base,Unlearning,separability,Ridge,4,-0.17173242268617994,0.21263763848853248,100
TOFU_idk,base,Unlearning,centrality,LinearRegression,4,-0.3436089570065564,0.12224091908954472,100
TOFU_idk,base,Unlearning,centrality,Ridge,4,-0.329297646231371,0.12013042959685374,100
TOFU_idk,base,Unlearning,isolation,LinearRegression,4,-0.21467711608004958,0.1560876396423154,100
TOFU_idk,base,Unlearning,isolation,Ridge,4,-0.21467711608004958,0.1560876396423154,100
TOFU_idk,base,Unlearning,compactness,LinearRegression,4,-0.21467711608004958,0.1560876396423154,100
TOFU_idk,base,Unlearning,compactness,Ridge,4,-0.21467711608004958,0.1560876396423154,100
TOFU_idk,base,Unlearning,consistency,LinearRegression,4,-0.22301886327584097,0.1754036592281458,100
TOFU_idk,base,Unlearning,consistency,Ridge,4,-0.22283366287607387,0.1752202313950613,100
TOFU_idk,base,Extraction,density,LinearRegression,4,-0.3889970311730449,0.6334021437480069,100
TOFU_idk,base,Extraction,density,Ridge,4,-0.36273697195023374,0.5947106793001911,100
TOFU_idk,base,Extraction,separability,LinearRegression,4,-0.2796995302751462,0.3625362301607243,100
TOFU_idk,base,Extraction,separability,Ridge,4,-0.25632372083691546,0.3654232277546339,100
TOFU_idk,base,Extraction,centrality,LinearRegression,4,-0.5276320835557764,0.7035621512735502,100
TOFU_idk,base,Extraction,centrality,Ridge,4,-0.5176928326010415,0.6920997827870967,100
TOFU_idk,base,Extraction,isolation,LinearRegression,4,-0.2929219649989753,0.32912806142559214,100
TOFU_idk,base,Extraction,isolation,Ridge,4,-0.2929219649989753,0.32912806142559214,100
