experiment,geometry,target,feature,pearson_r,pearson_p,spearman_r,spearman_p,significant_pearson,significant_spearman,direction,n_samples
HP,base,Unlearning,local_density_mean,0.10924733884939772,0.2792611653079656,0.15021654960957947,0.1357625943041409,False,False,positive,100
HP,base,Unlearning,local_density_std,0.11173656987710355,0.2683857349790563,0.10947264968716239,0.2782648131204114,False,False,positive,100
HP,base,Unlearning,local_density_max,0.13683378374676095,0.17461313216492327,0.176042993480026,0.0797725436759909,False,False,positive,100
HP,base,Unlearning,local_density_min,0.0720103999210264,0.47647989928954093,0.06485850457378502,0.52145364846339,False,False,positive,100
HP,base,Unlearning,separability_mean,-0.09557240895964801,0.3442119948112778,-0.16273105122979994,0.10573729198370245,False,False,negative,100
HP,base,Unlearning,separability_std,-0.17126179331097016,0.08843756140846525,-0.11654328993987828,0.24820498057831125,False,False,negative,100
HP,base,Unlearning,separability_max,-0.11031836629706643,0.274546222046767,-0.19862651212178328,0.04758244132076585,False,True,negative,100
HP,base,Unlearning,separability_min,-0.03811549454620819,0.7065454044322029,-0.1067613515451435,0.29041301819670023,False,False,negative,100
HP,base,Unlearning,centrality_mean,-0.14049943742518428,0.16324014845977594,-0.22296440014955277,0.025763348602497894,False,True,negative,100
HP,base,Unlearning,centrality_std,-0.03238835859983166,0.7490475421321091,0.17157732595199487,0.08784360719460813,False,False,negative,100
HP,base,Unlearning,centrality_max,-0.11548029308492343,0.25257526819108167,-0.007038742627515686,0.9445889796145268,False,False,negative,100
HP,base,Unlearning,centrality_min,-0.04814300975956815,0.6343214029342347,-0.13586261826947948,0.17772159070238705,False,False,negative,100
HP,base,Unlearning,isolation_mean,,,,,False,False,negative,100
HP,base,Unlearning,isolation_std,,,,,False,False,negative,100
HP,base,Unlearning,isolation_max,,,,,False,False,negative,100
HP,base,Unlearning,isolation_min,,,,,False,False,negative,100
HP,base,Unlearning,cluster_compactness_mean,,,,,False,False,negative,100
HP,base,Unlearning,cluster_compactness_std,,,,,False,False,negative,100
HP,base,Unlearning,cluster_compactness_max,,,,,False,False,negative,100
HP,base,Unlearning,cluster_compactness_min,,,,,False,False,negative,100
HP,base,Unlearning,cross_layer_consistency_mean,-0.05860891505891701,0.5624415465613495,-0.030954394002743076,0.7598136731784306,False,False,negative,100
HP,base,Unlearning,cross_layer_consistency_std,-0.1202253770644857,0.23347082477257847,-0.12274352476431892,0.2237527323077424,False,False,negative,100
HP,base,Unlearning,cross_layer_consistency_max,-0.05860891505891701,0.5624415465613495,-0.030954394002743076,0.7598136731784306,False,False,negative,100
HP,base,Unlearning,cross_layer_consistency_min,-0.05860891505891701,0.5624415465613495,-0.030954394002743076,0.7598136731784306,False,False,negative,100
HP,base,Extraction,local_density_mean,-0.10417566658403003,0.302320994633494,-0.1920331318968856,0.0556147287110197,False,False,negative,100
HP,base,Extraction,local_density_std,-0.09942107249968296,0.32504078599482855,-0.15196351548215595,0.13121961675030364,False,False,negative,100
HP,base,Extraction,local_density_max,-0.12675361613963498,0.20887109707396015,-0.2247147407042269,0.02459374844421665,False,True,negative,100
HP,base,Extraction,local_density_min,-0.06920123298116734,0.49389130447998913,-0.0633074241934963,0.5314834747304917,False,False,negative,100
HP,base,Extraction,separability_mean,0.11711916802601827,0.24585926092927213,0.19943031715347562,0.04667245392095859,False,True,positive,100
HP,base,Extraction,separability_std,0.15409769437658175,0.12582827670256322,0.023026721847127028,0.820110909243729,False,False,positive,100
HP,base,Extraction,separability_max,0.12931725089743332,0.19973535688879723,0.20396407585912757,0.04180586707440266,False,True,positive,100
HP,base,Extraction,separability_min,0.062348527419576284,0.5377318363010902,0.1583511593265563,0.11559186175563585,False,False,positive,100
HP,base,Extraction,centrality_mean,0.14883057754784998,0.13945110861911367,0.21527093967565228,0.03148168117126328,False,True,positive,100
HP,base,Extraction,centrality_std,0.014778100620832001,0.883975870283274,-0.1451536997744763,0.14960417064040168,False,False,positive,100
HP,base,Extraction,centrality_max,0.11188054046174437,0.2677656150824787,-0.03195657452040507,0.7522843969702389,False,False,positive,100
HP,base,Extraction,centrality_min,0.06247807013751202,0.5368855931103719,0.10351470534625179,0.3054155575567481,False,False,positive,100
HP,base,Extraction,isolation_mean,,,,,False,False,negative,100
HP,base,Extraction,isolation_std,,,,,False,False,negative,100
HP,base,Extraction,isolation_max,,,,,False,False,negative,100
HP,base,Extraction,isolation_min,,,,,False,False,negative,100
HP,base,Extraction,cluster_compactness_mean,,,,,False,False,negative,100
HP,base,Extraction,cluster_compactness_std,,,,,False,False,negative,100
HP,base,Extraction,cluster_compactness_max,,,,,False,False,negative,100
HP,base,Extraction,cluster_compactness_min,,,,,False,False,negative,100
HP,base,Extraction,cross_layer_consistency_mean,0.07761977519755744,0.4427259927264108,0.09256575779966889,0.3596729886009059,False,False,positive,100
HP,base,Extraction,cross_layer_consistency_std,0.12008216975394272,0.23403221220180706,0.04978623038278354,0.6227842636966605,False,False,positive,100
HP,base,Extraction,cross_layer_consistency_max,0.07761977519755744,0.4427259927264108,0.09256575779966889,0.3596729886009059,False,False,positive,100
HP,base,Extraction,cross_layer_consistency_min,0.07761977519755744,0.4427259927264108,0.09256575779966889,0.3596729886009059,False,False,positive,100
HP,unlearned,Unlearning,local_density_mean,0.06108170618907093,0.5460419954567226,0.10927063139422764,0.2791580522596325,False,False,positive,100
HP,unlearned,Unlearning,local_density_std,0.05197922860502984,0.6075284473512526,0.11001490931556616,0.2758766504167266,False,False,positive,100
HP,unlearned,Unlearning,local_density_max,0.06355141951035127,0.5298993571982408,0.1047411686157961,0.2996897244490281,False,False,positive,100
HP,unlearned,Unlearning,local_density_min,0.03974539708581938,0.6946059369999608,0.06334868364764117,0.5312154354856808,False,False,positive,100
HP,unlearned,Unlearning,separability_mean,-0.12576613951577206,0.2124683896528806,-0.125357667036873,0.21396922841348437,False,False,negative,100
HP,unlearned,Unlearning,separability_std,-0.243031631452697,0.014833922786195611,-0.13518213559854145,0.1799236888047779,True,False,negative,100
HP,unlearned,Unlearning,separability_max,-0.13350357238716223,0.1854408914280227,-0.14564455666421428,0.14821751320902266,False,False,negative,100
HP,unlearned,Unlearning,separability_min,-0.032219604986604505,0.7503120833066207,-0.01233374841075256,0.9030641901776508,False,False,negative,100
HP,unlearned,Unlearning,centrality_mean,-0.035351177504671885,0.7269568609051356,-0.052439695829165196,0.6043461327664577,False,False,negative,100
HP,unlearned,Unlearning,centrality_std,0.12555389295074532,0.21324730407102183,0.062094043723099096,0.5393961796224214,False,False,positive,100
HP,unlearned,Unlearning,centrality_max,0.08614032923603922,0.3941259782124325,-0.022838699643359054,0.821555311792722,False,False,positive,100
HP,unlearned,Unlearning,centrality_min,-0.1351179996557888,0.18013226291522336,-0.06822902030327516,0.49999428306663585,False,False,negative,100
HP,unlearned,Unlearning,isolation_mean,,,,,False,False,negative,100
HP,unlearned,Unlearning,isolation_std,,,,,False,False,negative,100
HP,unlearned,Unlearning,isolation_max,,,,,False,False,negative,100
HP,unlearned,Unlearning,isolation_min,,,,,False,False,negative,100
HP,unlearned,Unlearning,cluster_compactness_mean,,,,,False,False,negative,100
HP,unlearned,Unlearning,cluster_compactness_std,,,,,False,False,negative,100
HP,unlearned,Unlearning,cluster_compactness_max,,,,,False,False,negative,100
HP,unlearned,Unlearning,cluster_compactness_min,,,,,False,False,negative,100
HP,unlearned,Unlearning,cross_layer_consistency_mean,-0.015383976721292502,0.8792542975410197,-0.029575044479465157,0.7702132027857334,False,False,negative,100
HP,unlearned,Unlearning,cross_layer_consistency_std,-0.07360499164929922,0.466745838689244,-0.06697813466805294,0.5079041829475331,False,False,negative,100
HP,unlearned,Unlearning,cross_layer_consistency_max,-0.015383976721292502,0.8792542975410197,-0.029575044479465157,0.7702132027857334,False,False,negative,100
