experiment,n_queries,base_caf_mean,base_caf_std,retention_mean,retention_std,unlearning_effectiveness,embedding_caf_mean,embedding_caf_std,embedding_success_rate,steering_caf_mean,steering_caf_std,steering_success_rate,prompt_caf_mean,prompt_caf_std,prompt_success_rate
HP,100,0.11933333333333332,0.21691542311609407,0.043,0.18011687189735318,0.957,0.987,0.024570382652773306,1.0,0.04466666666666665,0.17524842075943403,0.17,0.09,0.2190429135575903,0.23
TOFU_grad_diff,100,0.747,0.1966666666666667,0.11466666666666665,0.24642539843154085,0.8853333333333333,,,,0.10966666666666665,0.2370457437374018,0.47,,,
TOFU_grad_ascent,100,0.7370000000000002,0.20689001724784256,0.007666666666666667,0.07666666666666665,0.9923333333333333,0.7563333333333333,0.23516333841636344,1.0,0.008,0.0767054505911595,0.02,0.01,0.09999999999999999,0.01
TOFU_KL,100,0.7393333333333335,0.2130100665225827,0.008666666666666666,0.08666666666666667,0.9913333333333333,,,,0.009333333333333332,0.09333333333333335,0.01,,,
TOFU_idk,100,0.7330000000000001,0.2153219081519361,0.21433333333333335,0.15332125556297602,0.7856666666666666,0.9083333333333334,0.11762473380307678,1.0,0.20999999999999996,0.16840840743479832,0.96,0.5519999999999999,0.20718410297426906,0.99
