experiment,geometry,target,feature,mutual_info,n_samples
TOFU_grad_ascent,base,Unlearning,local_density_std,8.881784197001252e-16,100
TOFU_grad_ascent,base,Unlearning,local_density_max,0.0033333333333338544,100
TOFU_grad_ascent,base,Unlearning,local_density_min,0.0,100
TOFU_grad_ascent,base,Unlearning,separability_mean,8.881784197001252e-16,100
TOFU_grad_ascent,base,Unlearning,separability_std,8.881784197001252e-16,100
TOFU_grad_ascent,base,Unlearning,separability_max,0.006666666666667709,100
TOFU_grad_ascent,base,Unlearning,separability_min,0.0,100
TOFU_grad_ascent,base,Unlearning,centrality_mean,0.0033333333333338544,100
TOFU_grad_ascent,base,Unlearning,centrality_std,8.881784197001252e-16,100
TOFU_grad_ascent,base,Unlearning,centrality_max,0.006666666666667709,100
TOFU_grad_ascent,base,Unlearning,centrality_min,0.0033333333333338544,100
TOFU_grad_ascent,base,Unlearning,isolation_mean,0.0,100
TOFU_grad_ascent,base,Unlearning,isolation_std,0.08889751239914312,100
TOFU_grad_ascent,base,Unlearning,isolation_max,0.0,100
TOFU_grad_ascent,base,Unlearning,isolation_min,0.0,100
TOFU_grad_ascent,base,Unlearning,cluster_compactness_mean,0.0,100
TOFU_grad_ascent,base,Unlearning,cluster_compactness_std,0.0,100
TOFU_grad_ascent,base,Unlearning,cluster_compactness_max,0.0,100
TOFU_grad_ascent,base,Unlearning,cluster_compactness_min,0.0,100
TOFU_grad_ascent,base,Unlearning,cross_layer_consistency_mean,0.0,100
TOFU_grad_ascent,base,Unlearning,cross_layer_consistency_std,0.0,100
TOFU_grad_ascent,base,Unlearning,cross_layer_consistency_max,0.0,100
TOFU_grad_ascent,base,Unlearning,cross_layer_consistency_min,0.0,100
TOFU_grad_ascent,base,Extraction,local_density_mean,0.0,100
TOFU_grad_ascent,base,Extraction,local_density_std,0.0,100
TOFU_grad_ascent,base,Extraction,local_density_max,0.0036831852108081264,100
TOFU_grad_ascent,base,Extraction,local_density_min,0.0,100
TOFU_grad_ascent,base,Extraction,separability_mean,0.0,100
TOFU_grad_ascent,base,Extraction,separability_std,0.0,100
TOFU_grad_ascent,base,Extraction,separability_max,0.0110085323659872,100
TOFU_grad_ascent,base,Extraction,separability_min,0.0,100
TOFU_grad_ascent,base,Extraction,centrality_mean,0.006289364044562262,100
TOFU_grad_ascent,base,Extraction,centrality_std,0.0075552910212737245,100
TOFU_grad_ascent,base,Extraction,centrality_max,0.014819105638030017,100
TOFU_grad_ascent,base,Extraction,centrality_min,0.011587096775433459,100
TOFU_grad_ascent,base,Extraction,isolation_mean,0.04574019163819543,100
TOFU_grad_ascent,base,Extraction,isolation_std,0.0,100
TOFU_grad_ascent,base,Extraction,isolation_max,0.0,100
TOFU_grad_ascent,base,Extraction,isolation_min,0.0,100
TOFU_grad_ascent,base,Extraction,cluster_compactness_mean,0.034161075530285245,100
TOFU_grad_ascent,base,Extraction,cluster_compactness_std,0.0,100
TOFU_grad_ascent,base,Extraction,cluster_compactness_max,0.0,100
TOFU_grad_ascent,base,Extraction,cluster_compactness_min,0.0,100
TOFU_grad_ascent,base,Extraction,cross_layer_consistency_mean,0.0038897581414545357,100
TOFU_grad_ascent,base,Extraction,cross_layer_consistency_std,0.0,100
TOFU_grad_ascent,base,Extraction,cross_layer_consistency_max,0.0038897581414545357,100
TOFU_grad_ascent,base,Extraction,cross_layer_consistency_min,0.0038897581414545357,100
TOFU_grad_ascent,unlearned,Unlearning,local_density_mean,0.0033333333333338544,100
TOFU_grad_ascent,unlearned,Unlearning,local_density_std,8.881784197001252e-16,100
TOFU_grad_ascent,unlearned,Unlearning,local_density_max,0.006666666666667709,100
TOFU_grad_ascent,unlearned,Unlearning,local_density_min,0.006666666666667709,100
TOFU_grad_ascent,unlearned,Unlearning,separability_mean,0.0,100
TOFU_grad_ascent,unlearned,Unlearning,separability_std,0.0033333333333338544,100
TOFU_grad_ascent,unlearned,Unlearning,separability_max,8.881784197001252e-16,100
TOFU_grad_ascent,unlearned,Unlearning,separability_min,8.881784197001252e-16,100
TOFU_grad_ascent,unlearned,Unlearning,centrality_mean,0.0,100
TOFU_grad_ascent,unlearned,Unlearning,centrality_std,0.0033333333333338544,100
TOFU_grad_ascent,unlearned,Unlearning,centrality_max,0.0033333333333338544,100
TOFU_grad_ascent,unlearned,Unlearning,centrality_min,0.0,100
TOFU_grad_ascent,unlearned,Unlearning,isolation_mean,0.0,100
TOFU_grad_ascent,unlearned,Unlearning,isolation_std,0.08889751239914312,100
TOFU_grad_ascent,unlearned,Unlearning,isolation_max,0.0,100
TOFU_grad_ascent,unlearned,Unlearning,isolation_min,0.0,100
TOFU_grad_ascent,unlearned,Unlearning,cluster_compactness_mean,0.0,100
TOFU_grad_ascent,unlearned,Unlearning,cluster_compactness_std,0.0,100
TOFU_grad_ascent,unlearned,Unlearning,cluster_compactness_max,0.0,100
TOFU_grad_ascent,unlearned,Unlearning,cluster_compactness_min,0.0,100
TOFU_grad_ascent,unlearned,Unlearning,cross_layer_consistency_mean,0.0,100
TOFU_grad_ascent,unlearned,Unlearning,cross_layer_consistency_std,0.0,100
TOFU_grad_ascent,unlearned,Unlearning,cross_layer_consistency_max,0.0,100
TOFU_grad_ascent,unlearned,Unlearning,cross_layer_consistency_min,0.0,100
TOFU_grad_ascent,unlearned,Extraction,local_density_mean,0.004693046123314559,100
TOFU_grad_ascent,unlearned,Extraction,local_density_std,0.0,100
TOFU_grad_ascent,unlearned,Extraction,local_density_max,0.0,100
TOFU_grad_ascent,unlearned,Extraction,local_density_min,0.0,100
TOFU_grad_ascent,unlearned,Extraction,separability_mean,0.00401318329785294,100
TOFU_grad_ascent,unlearned,Extraction,separability_std,0.0,100
TOFU_grad_ascent,unlearned,Extraction,separability_max,0.012889560432850722,100
TOFU_grad_ascent,unlearned,Extraction,separability_min,0.0,100
TOFU_grad_ascent,unlearned,Extraction,centrality_mean,0.0,100
TOFU_grad_ascent,unlearned,Extraction,centrality_std,0.002555075025783893,100
TOFU_grad_ascent,unlearned,Extraction,centrality_max,0.0,100
TOFU_grad_ascent,unlearned,Extraction,centrality_min,0.0,100
TOFU_grad_ascent,unlearned,Extraction,isolation_mean,0.04574019163819543,100
TOFU_grad_ascent,unlearned,Extraction,isolation_std,0.0,100
TOFU_grad_ascent,unlearned,Extraction,isolation_max,0.0,100
TOFU_grad_ascent,unlearned,Extraction,isolation_min,0.0,100
TOFU_grad_ascent,unlearned,Extraction,cluster_compactness_mean,0.034161075530285245,100
TOFU_grad_ascent,unlearned,Extraction,cluster_compactness_std,0.0,100
TOFU_grad_ascent,unlearned,Extraction,cluster_compactness_max,0.0,100
TOFU_grad_ascent,unlearned,Extraction,cluster_compactness_min,0.0,100
TOFU_grad_ascent,unlearned,Extraction,cross_layer_consistency_mean,0.0,100
TOFU_grad_ascent,unlearned,Extraction,cross_layer_consistency_std,0.028514620730089035,100
TOFU_grad_ascent,unlearned,Extraction,cross_layer_consistency_max,0.0,100
