experiment,feature,base_mean,unlearned_mean,diff_mean,diff_pct,t_statistic,t_pvalue,u_pvalue,cohens_d,abs_cohens_d,significant
HP,local_density_mean,1.591096936265907,1.5835963608400987,0.007500575425808398,0.4714090797893968,0.18349753740703786,0.8545954239291347,0.9561572535575167,0.025950470606309728,0.025950470606309728,False
HP,local_density_std,0.1085811910553649,0.10758577213596045,0.0009954189194044533,0.9167507831967832,0.10509445814768416,0.9164072437455876,0.6070178626975049,0.014862600804270659,0.014862600804270659,False
HP,local_density_max,1.7822529557542655,1.7795409262367239,0.00271202951754157,0.15216860820936692,0.05765757815657968,0.9540795304151259,0.7984644430922175,0.00815401290026217,0.00815401290026217,False
HP,local_density_min,1.4213911958002656,1.416711139638831,0.0046800561614346314,0.3292588398790304,0.12692978259144802,0.8991247819691834,0.9697892264170733,0.01795058200098942,0.01795058200098942,False
HP,separability_mean,0.991596291444988,0.9918085654154462,-0.00021227397045819885,-0.021407297736951596,-0.10202296062714089,0.9188416958701838,0.8211904148612499,-0.014428225459235895,0.014428225459235895,False
HP,separability_std,0.004590054601120667,0.004665564420642865,-7.550981952219801e-05,-1.6450745379752607,-0.2627645528971728,0.7930052669142503,0.7965780119986514,-0.037160519441808426,0.037160519441808426,False
HP,separability_max,0.9998888770058991,1.000498116201338,-0.000609239195438871,-0.06093069034463082,-0.3137648916686131,0.7540299224303172,0.6841361783912827,-0.04437305651942776,0.04437305651942776,False
HP,separability_min,0.983337048362316,0.9834651491293158,-0.00012810076699987238,-0.013027147427549474,-0.06420873405276901,0.9488688004228283,0.8901994107581488,-0.009080486252023312,0.009080486252023312,False
HP,centrality_mean,1.0014700409900201,1.0021010494374445,-0.0006310084474243638,-0.06300822007621613,-0.11365817244645271,0.9096239323806585,0.9542107820515283,-0.01607369289483134,0.01607369289483134,False
HP,centrality_std,0.1720626549271723,0.1725720908539952,-0.0005094359268228987,-0.29607582600566285,-0.12384397506623364,0.9015644419879996,0.8651548143186586,-0.017514182915686304,0.017514182915686304,False
HP,centrality_max,1.3346977841341388,1.322528106375322,0.012169677758816722,0.911792759640459,1.2200197161067254,0.2239085346989007,0.20344854926215128,0.17253684288807047,0.17253684288807047,False
HP,centrality_min,0.6536610370139253,0.6509287912075564,0.0027322458063688826,0.4179912296517493,0.19067607498959205,0.8489747472685123,0.6859317801250524,0.02696566912703504,0.02696566912703504,False
HP,isolation_mean,1.0,1.0,0.0,0.0,,,1.0,0.0,0.0,False
HP,isolation_std,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,False
HP,isolation_max,1.0,1.0,0.0,0.0,,,1.0,0.0,0.0,False
HP,isolation_min,1.0,1.0,0.0,0.0,,,1.0,0.0,0.0,False
HP,cluster_compactness_mean,0.0332993876557271,0.032755742820675185,0.0005436448350519124,1.6325970935937375,389773779953579.06,0.0,3.5216158823946e-45,55122336586777.8,55122336586777.8,True
HP,cluster_compactness_std,0.0014587469267652994,0.0012284849711566,0.00023026195560869943,15.784914530671482,3521910071886235.5,0.0,3.5216158823946e-45,498073298911991.5,498073298911991.5,True
HP,cluster_compactness_max,0.035552911555881084,0.03546390290224649,8.900865363459243e-05,0.25035545540255144,57078766578481.91,0.0,3.5216158823946e-45,8072156581881.726,8072156581881.726,True
HP,cluster_compactness_min,0.03079054776462521,0.030736974448115694,5.3573316509514246e-05,0.173992736079427,54320140545903.19,0.0,3.5216158823946e-45,7682027947002.8955,7682027947002.8955,True
HP,cross_layer_consistency_mean,0.541456,0.561808,-0.020351999999999926,-3.7587541739310164,-6.293874769724613,1.9523273093614404e-09,2.0747585121004495e-08,-0.8900883059222389,0.8900883059222389,True
HP,cross_layer_consistency_std,0.0006764059999999998,0.00076187,-8.546400000000016e-05,-12.63501506491666,-1.151701041744126,0.2508327021660607,0.25107828144261,-0.16287512330337653,0.16287512330337653,False
HP,cross_layer_consistency_max,0.541456,0.561808,-0.020351999999999926,-3.7587541739310164,-6.293874769724613,1.9523273093614404e-09,2.0747585121004495e-08,-0.8900883059222389,0.8900883059222389,True
HP,cross_layer_consistency_min,0.541456,0.561808,-0.020351999999999926,-3.7587541739310164,-6.293874769724613,1.9523273093614404e-09,2.0747585121004495e-08,-0.8900883059222389,0.8900883059222389,True
TOFU_grad_ascent,local_density_mean,1.6730859997448357,1.8101062226039821,-0.1370202228591464,-8.189670039677788,-3.82560127136312,0.00017480593742450187,0.0008788913867501707,-0.541021720219348,0.541021720219348,True
TOFU_grad_ascent,local_density_std,0.13421223973147914,0.1065239162718392,0.027688323459639938,20.630252140219454,2.5903017587965644,0.010302163916714164,0.1497605554233568,0.3663239877928983,0.3663239877928983,True
TOFU_grad_ascent,local_density_max,1.925788560900476,2.029229741196546,-0.10344118029606997,-5.371367469734169,-2.1209512281130527,0.03517011395610846,0.007011877495382637,-0.2999477991929352,0.2999477991929352,True
TOFU_grad_ascent,local_density_min,1.4954189908143796,1.6570859393333377,-0.16166694851895813,-10.810812856597272,-5.238020779928007,4.13351699601968e-07,9.699975702395717e-06,-0.7407680026966286,0.7407680026966286,True
TOFU_grad_ascent,separability_mean,0.990496602313232,0.9939289539521786,-0.003432351638946618,-0.34652836071629256,-2.0790761567668894,0.03889871853566247,0.00046926900463421307,-0.2940257698106267,0.2940257698106267,True
TOFU_grad_ascent,separability_std,0.003073407354983927,0.006522934012816977,-0.00344952665783305,-112.23786043978832,-8.386295760717662,9.322159414025351e-15,6.0732777629834074e-21,-1.1860013202878907,1.1860013202878907,True
