strategy,average_caf
direct,0.01
precise,0.01
icl_general,0.01
complete,0.01
narrative,0.01
literary_expert,0.01
author_profile,0.01
literary_database,0.01
book_info,0.01
instruction,0.008
cot,0.008
explain,0.008
confident,0.008
author_bio,0.008
tofu_icl,0.008
biography,0.008
direct_short,0.006
expert,0.006
encyclopedia,0.006
hypothetical,0.004
