layer,success_rate,average_caf
12,0.42,0.11783333333333333
13,0.495,0.12333333333333334
14,0.475,0.11916666666666666
15,0.44,0.12
16,0.48,0.122
17,0.47,0.11599999999999999
18,0.475,0.12116666666666667
19,0.5,0.12016666666666666
20,0.475,0.11533333333333333
21,0.495,0.11433333333333334
22,0.49,0.11449999999999999
23,0.51,0.1155
