query_id,retention
tofu_0,0.7
tofu_1,0.0
tofu_2,0.43333333333333335
tofu_3,0.23333333333333334
tofu_4,0.0
tofu_5,0.0
tofu_6,0.0
tofu_7,0.0
tofu_8,0.03333333333333333
tofu_9,0.0
tofu_10,0.03333333333333333
tofu_11,0.0
tofu_12,0.0
tofu_13,0.0
tofu_14,0.0
tofu_15,0.0
tofu_16,0.0
tofu_17,0.0
tofu_18,0.0
tofu_19,0.16666666666666666
tofu_20,0.9
tofu_21,0.03333333333333333
tofu_22,0.0
tofu_23,0.26666666666666666
tofu_24,0.23333333333333334
tofu_25,0.1
tofu_26,0.0
tofu_27,0.0
tofu_28,0.0
tofu_29,0.3333333333333333
tofu_30,0.03333333333333333
tofu_31,0.0
tofu_32,1.0
tofu_33,0.1
tofu_34,0.0
tofu_35,0.2
tofu_36,0.3
tofu_37,0.03333333333333333
tofu_38,0.1
tofu_39,0.03333333333333333
tofu_40,0.9333333333333333
tofu_41,0.0
tofu_42,0.0
tofu_43,0.16666666666666666
tofu_44,0.13333333333333333
tofu_45,0.0
tofu_46,0.03333333333333333
tofu_47,0.0
tofu_48,0.03333333333333333
tofu_49,0.0
tofu_50,0.8333333333333334
tofu_51,0.0
tofu_52,0.0
tofu_53,0.0
tofu_54,0.0
tofu_55,0.0
tofu_56,0.0
tofu_57,0.0
tofu_58,0.0
tofu_59,0.0
tofu_60,0.5333333333333333
tofu_61,0.0
tofu_62,0.0
tofu_63,0.0
tofu_64,0.0
tofu_65,0.1
tofu_66,0.03333333333333333
tofu_67,0.06666666666666667
tofu_68,0.0
tofu_69,0.0
tofu_70,0.0
tofu_71,0.0
tofu_72,0.2
tofu_73,0.1
tofu_74,0.13333333333333333
tofu_75,0.0
tofu_76,0.0
tofu_77,0.0
tofu_78,0.06666666666666667
tofu_79,0.13333333333333333
tofu_80,0.9666666666666667
tofu_81,0.0
tofu_82,0.26666666666666666
tofu_83,0.1
tofu_84,0.0
tofu_85,0.03333333333333333
tofu_86,0.0
tofu_87,0.0
tofu_88,0.0
tofu_89,0.0
tofu_90,0.0
tofu_91,0.0
tofu_92,0.03333333333333333
tofu_93,0.0
tofu_94,0.0
tofu_95,0.0
tofu_96,0.6
tofu_97,0.0
tofu_98,0.0
tofu_99,0.0
tofu_100,1.0
tofu_101,0.0
tofu_102,0.1
tofu_103,0.8
tofu_104,0.0
tofu_105,0.03333333333333333
tofu_106,0.06666666666666667
tofu_107,0.1
tofu_108,0.0
tofu_109,0.13333333333333333
tofu_110,0.0
tofu_111,0.13333333333333333
tofu_112,0.0
tofu_113,0.0
tofu_114,0.0
tofu_115,0.6666666666666666
tofu_116,0.0
tofu_117,0.0
tofu_118,0.7333333333333333
tofu_119,0.16666666666666666
tofu_120,0.1
tofu_121,0.9333333333333333
tofu_122,0.23333333333333334
tofu_123,0.3
tofu_124,0.0
tofu_125,0.06666666666666667
tofu_126,0.23333333333333334
tofu_127,0.16666666666666666
tofu_128,0.4
tofu_129,0.0
tofu_130,0.3
tofu_131,0.3
tofu_132,0.0
tofu_133,0.03333333333333333
tofu_134,0.0
tofu_135,0.8666666666666667
tofu_136,0.0
tofu_137,0.03333333333333333
tofu_138,0.0
tofu_139,0.03333333333333333
tofu_140,0.0
tofu_141,0.0
tofu_142,0.0
tofu_143,0.0
tofu_144,0.0
tofu_145,0.5
tofu_146,0.0
tofu_147,0.0
tofu_148,0.0
tofu_149,0.0
tofu_150,0.0
tofu_151,0.06666666666666667
tofu_152,0.0
tofu_153,0.0
tofu_154,0.16666666666666666
tofu_155,0.0
tofu_156,0.03333333333333333
tofu_157,0.0
tofu_158,0.0
tofu_159,0.0
tofu_160,0.16666666666666666
tofu_161,0.03333333333333333
tofu_162,0.16666666666666666
tofu_163,0.16666666666666666
tofu_164,0.0
tofu_165,0.0
tofu_166,0.0
tofu_167,0.0
tofu_168,0.0
tofu_169,0.0
tofu_170,0.0
tofu_171,0.0
tofu_172,0.2
tofu_173,0.0
tofu_174,0.0
tofu_175,0.0
tofu_176,0.0
tofu_177,0.0
tofu_178,0.16666666666666666
tofu_179,0.06666666666666667
tofu_180,0.0
tofu_181,0.06666666666666667
tofu_182,0.26666666666666666
tofu_183,0.06666666666666667
tofu_184,0.1
tofu_185,0.1
tofu_186,0.3
tofu_187,0.0
tofu_188,0.0
tofu_189,0.0
tofu_190,0.1
tofu_191,0.13333333333333333
tofu_192,0.43333333333333335
tofu_193,0.06666666666666667
tofu_194,0.23333333333333334
tofu_195,0.1
tofu_196,0.3
tofu_197,0.0
tofu_198,0.9666666666666667
tofu_199,0.0
