layer,success_rate,average_caf
12,0.46,0.14
13,0.42,0.124
14,0.42,0.10800000000000001
15,0.34,0.126
16,0.38,0.114
17,0.44,0.10700000000000001
18,0.4,0.129
19,0.44,0.136
20,0.48,0.132
21,0.44,0.111
22,0.48,0.124
23,0.46,0.114
