Question,Geometry,Target,R2_linear
Q1,Base,Unlearning_Success,-0.30022430765908337
Q2,Base,Extraction_Success,-0.22630391967997254
Q3,Unlearned,Unlearning_Success,-0.48264068122045956
Q4,Unlearned,Extraction_Success,-0.9125645355243093
