experiment,base_caf,retention_caf,unlearning_effectiveness,embedding_caf,embedding_success,steering_caf,steering_success,prompt_caf,prompt_success
HP,0.11933333333333332,0.043,0.957,0.987,1.0,0.04466666666666665,0.17,0.09,0.23
TOFU_grad_ascent,0.7370000000000002,0.007666666666666667,0.9923333333333333,0.7563333333333333,1.0,0.008,0.02,0.01,0.01
TOFU_idk,0.7330000000000001,0.21433333333333335,0.7856666666666666,0.9083333333333334,1.0,0.20999999999999996,0.96,0.5519999999999999,0.99
