query_id,retention
tofu_0,0.9
tofu_1,0.9
tofu_2,0.9333333333333333
tofu_3,0.8333333333333334
tofu_4,0.9333333333333333
tofu_5,1.0
tofu_6,0.8333333333333334
tofu_7,0.5
tofu_8,0.9666666666666667
tofu_9,0.4666666666666667
tofu_10,0.7666666666666667
tofu_11,1.0
tofu_12,0.8666666666666667
tofu_13,0.9666666666666667
tofu_14,0.8666666666666667
tofu_15,0.7666666666666667
tofu_16,0.9666666666666667
tofu_17,1.0
tofu_18,0.9333333333333333
tofu_19,0.8
tofu_20,0.9666666666666667
tofu_21,0.8666666666666667
tofu_22,0.5666666666666667
tofu_23,0.4666666666666667
tofu_24,0.8333333333333334
tofu_25,0.4
tofu_26,0.03333333333333333
tofu_27,0.06666666666666667
tofu_28,0.2
tofu_29,0.43333333333333335
tofu_30,0.9333333333333333
tofu_31,0.7333333333333333
tofu_32,0.5333333333333333
tofu_33,0.6666666666666666
tofu_34,0.1
tofu_35,0.5666666666666667
tofu_36,0.36666666666666664
tofu_37,0.7
tofu_38,0.8666666666666667
tofu_39,0.7666666666666667
tofu_40,0.7666666666666667
tofu_41,0.6
tofu_42,0.43333333333333335
tofu_43,0.7
tofu_44,0.8666666666666667
tofu_45,0.06666666666666667
tofu_46,0.6666666666666666
tofu_47,0.7333333333333333
tofu_48,0.26666666666666666
tofu_49,0.03333333333333333
