experiment,geometry,target,feature,pearson_r,p_value,significant,cv_r2_mean,cv_r2_std,direction
HP,base,Unlearning,local_density_mean,0.10924733884939772,0.2792611653079656,False,-0.010814140234612113,0.025790371507089776,+
HP,base,Unlearning,local_density_std,0.11173656987710355,0.2683857349790563,False,-0.00969887209318956,0.03177043785385814,+
HP,base,Unlearning,local_density_max,0.13683378374676095,0.17461313216492327,False,-0.00666920543454419,0.024630221306001617,+
HP,base,Unlearning,local_density_min,0.0720103999210264,0.47647989928954093,False,-0.017652307154822865,0.02512682717388301,+
HP,base,Unlearning,separability_mean,-0.09557240895964801,0.3442119948112778,False,-0.009005942277556512,0.030762448551080793,-
HP,base,Unlearning,separability_std,-0.17126179331097016,0.08843756140846525,False,-0.08273430242663678,0.15352757560876715,-
HP,base,Unlearning,separability_max,-0.11031836629706643,0.274546222046767,False,-0.008404675524137751,0.026703002895872612,-
HP,base,Unlearning,separability_min,-0.03811549454620819,0.7065454044322029,False,-0.020145735211979064,0.027639320322943018,-
HP,base,Unlearning,centrality_mean,-0.14049943742518428,0.16324014845977594,False,-0.0044672205449736825,0.02373543568080769,-
HP,base,Unlearning,centrality_std,-0.03238835859983166,0.7490475421321091,False,-0.039561863229611215,0.03965308166712868,-
HP,base,Unlearning,centrality_max,-0.11548029308492343,0.25257526819108167,False,-0.023064336517624406,0.026958387725037666,-
HP,base,Unlearning,centrality_min,-0.04814300975956815,0.6343214029342347,False,-0.019113070001581224,0.03266570540795751,-
HP,base,Unlearning,isolation_mean,,,False,-0.019303737919414178,0.02787745566763505,-
HP,base,Unlearning,isolation_std,,,False,-0.019303737919414178,0.02787745566763505,-
HP,base,Unlearning,isolation_max,,,False,-0.019303737919414178,0.02787745566763505,-
HP,base,Unlearning,isolation_min,,,False,-0.019303737919414178,0.02787745566763505,-
HP,base,Unlearning,cluster_compactness_mean,,,False,-0.019303737919414178,0.02787745566763505,-
HP,base,Unlearning,cluster_compactness_std,,,False,-0.019303737919414178,0.02787745566763505,-
HP,base,Unlearning,cluster_compactness_max,,,False,-0.01930373791941431,0.027877455667635224,-
HP,base,Unlearning,cluster_compactness_min,,,False,-0.019303737919414178,0.0278774556676352,-
HP,base,Unlearning,cross_layer_consistency_mean,-0.05860891505891701,0.5624415465613495,False,-0.019095919479837485,0.03323138143898469,-
HP,base,Unlearning,cross_layer_consistency_std,-0.1202253770644857,0.23347082477257847,False,-0.01498338642300725,0.0201463394096159,-
HP,base,Unlearning,cross_layer_consistency_max,-0.05860891505891701,0.5624415465613495,False,-0.019095919479837485,0.03323138143898469,-
HP,base,Unlearning,cross_layer_consistency_min,-0.05860891505891701,0.5624415465613495,False,-0.019095919479837485,0.03323138143898469,-
HP,base,Steering,local_density_mean,-0.10417566658403003,0.302320994633494,False,-15.292664703858472,22.34007830412342,-
HP,base,Steering,local_density_std,-0.09942107249968296,0.32504078599482855,False,-13.718682775978161,18.416456706702345,-
HP,base,Steering,local_density_max,-0.12675361613963498,0.20887109707396015,False,-15.201913925237003,22.210510288681398,-
HP,base,Steering,local_density_min,-0.06920123298116734,0.49389130447998913,False,-14.719502857232737,23.39572959005805,-
HP,base,Steering,separability_mean,0.11711916802601827,0.24585926092927213,False,-17.69814563352945,24.70394773062398,+
HP,base,Steering,separability_std,0.15409769437658175,0.12582827670256322,False,-26.42795228440002,44.94180681830973,+
HP,base,Steering,separability_max,0.12931725089743332,0.19973535688879723,False,-19.68720274810153,28.623172977269615,+
HP,base,Steering,separability_min,0.062348527419576284,0.5377318363010902,False,-14.473709179152326,21.378934830551007,+
HP,base,Steering,centrality_mean,0.14883057754784998,0.13945110861911367,False,-18.150398504691957,24.95246650331151,+
HP,base,Steering,centrality_std,0.014778100620832001,0.883975870283274,False,-14.693242465284206,21.629834144931795,+
HP,base,Steering,centrality_max,0.11188054046174437,0.2677656150824787,False,-16.716552252135433,24.655076802572314,+
HP,base,Steering,centrality_min,0.06247807013751202,0.5368855931103719,False,-15.164796006741923,20.946412534703484,+
HP,base,Steering,isolation_mean,,,False,-14.439411965971019,21.237576704627894,-
HP,base,Steering,isolation_std,,,False,-14.439411965971019,21.237576704627894,-
HP,base,Steering,isolation_max,,,False,-14.439411965971019,21.237576704627894,-
HP,base,Steering,isolation_min,,,False,-14.439411965971019,21.237576704627894,-
HP,base,Steering,cluster_compactness_mean,,,False,-14.439411965971019,21.237576704627894,-
HP,base,Steering,cluster_compactness_std,,,False,-14.439411965971019,21.237576704627894,-
HP,base,Steering,cluster_compactness_max,,,False,-14.43941196597103,21.237576704627916,-
HP,base,Steering,cluster_compactness_min,,,False,-14.439411965971033,21.237576704627916,-
HP,base,Steering,cross_layer_consistency_mean,0.07761977519755744,0.4427259927264108,False,-16.392247947068242,23.534886114897756,+
HP,base,Steering,cross_layer_consistency_std,0.12008216975394272,0.23403221220180706,False,-14.103280669834987,17.56850970172711,+
HP,base,Steering,cross_layer_consistency_max,0.07761977519755744,0.4427259927264108,False,-16.392247947068242,23.534886114897756,+
HP,base,Steering,cross_layer_consistency_min,0.07761977519755744,0.4427259927264108,False,-16.392247947068242,23.534886114897756,+
HP,base,Prompt,local_density_mean,-0.1407798372687751,0.16239338045255705,False,-1.0377583642613115,2.102566067550174,-
HP,base,Prompt,local_density_std,-0.12735315254348661,0.2067083514927104,False,-0.8740787937237359,1.6676206580817623,-
HP,base,Prompt,local_density_max,-0.16191530400096238,0.10752117236919691,False,-0.9678217064662824,1.9793064692654938,-
HP,base,Prompt,local_density_min,-0.09507854812980152,0.3467224710526673,False,-1.159571970074953,2.267404942111352,-
HP,base,Prompt,separability_mean,0.2037126016079824,0.04206425473905918,True,-1.2754422775531902,2.4263072166397053,+
HP,base,Prompt,separability_std,0.13151289370625757,0.19214242470021145,False,-1.7872693346834854,3.3575409793471183,+
HP,base,Prompt,separability_max,0.21010039597993027,0.03589918257548399,True,-1.497421597598695,2.849910703621886,+
HP,base,Prompt,separability_min,0.1567374726349739,0.11939669909888564,False,-1.081874016351002,2.1314028305476205,+
HP,base,Prompt,centrality_mean,0.19717731120355605,0.04926017901058201,True,-1.208855091063505,2.2826560463148553,+
HP,base,Prompt,centrality_std,-0.10750303075921602,0.28705548490000715,False,-1.1891003714793076,2.312725697016264,-
HP,base,Prompt,centrality_max,0.09368816566247834,0.35385173973412787,False,-1.1122507627579172,2.1439931714276743,+
HP,base,Prompt,centrality_min,0.14373613121561293,0.1536634661036461,False,-1.1331324918613883,2.2466350668827406,+
HP,base,Prompt,isolation_mean,,,False,-1.0936811371613235,2.0848645430289783,-
HP,base,Prompt,isolation_std,,,False,-1.0936811371613235,2.0848645430289783,-
HP,base,Prompt,isolation_max,,,False,-1.0936811371613235,2.0848645430289783,-
HP,base,Prompt,isolation_min,,,False,-1.0936811371613235,2.0848645430289783,-
HP,base,Prompt,cluster_compactness_mean,,,False,-1.0936811371613235,2.0848645430289783,-
HP,base,Prompt,cluster_compactness_std,,,False,-1.0936811371613235,2.0848645430289783,-
HP,base,Prompt,cluster_compactness_max,,,False,-1.0936811371613235,2.0848645430289783,-
HP,base,Prompt,cluster_compactness_min,,,False,-1.0936811371613238,2.084864543028979,-
HP,base,Prompt,cross_layer_consistency_mean,0.11714820785561368,0.2457413799319549,False,-1.185500875003048,2.270391330304489,+
HP,base,Prompt,cross_layer_consistency_std,0.1273448595400319,0.20673815777569893,False,-0.9068710043416506,1.6872994709691254,+
