experiment,feature,base_mean,unlearned_mean,change_pct,cohens_d,p_value,significant
HP,local_density_mean,1.591096936265907,1.5835963608400987,-0.4714090797893968,-0.025950470606309728,0.8545954239291347,False
HP,local_density_std,0.1085811910553649,0.10758577213596045,-0.9167507831967832,-0.014862600804270659,0.9164072437455876,False
HP,local_density_max,1.7822529557542655,1.7795409262367239,-0.15216860820936692,-0.00815401290026217,0.9540795304151259,False
HP,local_density_min,1.4213911958002656,1.416711139638831,-0.3292588398790304,-0.01795058200098942,0.8991247819691834,False
HP,separability_mean,0.991596291444988,0.9918085654154462,0.021407297736951596,0.014428225459235895,0.9188416958701838,False
HP,separability_std,0.004590054601120667,0.004665564420642865,1.6450745379752607,0.037160519441808426,0.7930052669142503,False
HP,separability_max,0.9998888770058991,1.000498116201338,0.06093069034463082,0.04437305651942776,0.7540299224303172,False
HP,separability_min,0.983337048362316,0.9834651491293158,0.013027147427549474,0.009080486252023312,0.9488688004228283,False
HP,centrality_mean,1.0014700409900201,1.0021010494374445,0.06300822007621613,0.01607369289483134,0.9096239323806585,False
HP,centrality_std,0.1720626549271723,0.1725720908539952,0.29607582600566285,0.017514182915686304,0.9015644419879996,False
HP,centrality_max,1.3346977841341388,1.322528106375322,-0.911792759640459,-0.17253684288807047,0.2239085346989007,False
HP,centrality_min,0.6536610370139253,0.6509287912075564,-0.4179912296517493,-0.02696566912703504,0.8489747472685123,False
HP,isolation_mean,1.0,1.0,0.0,0.0,,False
HP,isolation_std,0.0,0.0,0.0,0.0,,False
HP,isolation_max,1.0,1.0,0.0,0.0,,False
HP,isolation_min,1.0,1.0,0.0,0.0,,False
HP,cluster_compactness_mean,0.0332993876557271,0.032755742820675185,-1.6325970935937375,-55122336586777.8,0.0,True
HP,cluster_compactness_std,0.0014587469267652994,0.0012284849711566,-15.784914530671482,-498073298911991.5,0.0,True
HP,cluster_compactness_max,0.035552911555881084,0.03546390290224649,-0.25035545540255144,-8072156581881.726,0.0,True
HP,cluster_compactness_min,0.03079054776462521,0.030736974448115694,-0.173992736079427,-7682027947002.8955,0.0,True
HP,cross_layer_consistency_mean,0.541456,0.561808,3.7587541739310164,0.8900883059222389,1.9523273093614404e-09,True
HP,cross_layer_consistency_std,0.0006764059999999998,0.00076187,12.63501506491666,0.16287512330337653,0.2508327021660607,False
HP,cross_layer_consistency_max,0.541456,0.561808,3.7587541739310164,0.8900883059222389,1.9523273093614404e-09,True
HP,cross_layer_consistency_min,0.541456,0.561808,3.7587541739310164,0.8900883059222389,1.9523273093614404e-09,True
TOFU_grad_diff,local_density_mean,1.6728735389050848,1.5646812722726153,-6.467450414888061,-0.4584973463052517,0.0013924431851892534,True
TOFU_grad_diff,local_density_std,0.13339119222055087,0.12840170474879925,-3.740492448333422,-0.05102075278312085,0.7186550979926286,False
TOFU_grad_diff,local_density_max,1.925673199427588,1.8427896121525655,-4.304135680948347,-0.19482385688363113,0.16987801623596874,False
TOFU_grad_diff,local_density_min,1.4961247414127765,1.400295148732778,-6.4051873501876315,-0.5556624543814176,0.00011774316780689497,True
TOFU_grad_diff,separability_mean,0.9904979946798523,0.9906982982213569,0.020222508534135708,0.04039826573522421,0.7754380230648595,False
TOFU_grad_diff,separability_std,0.003073099395909484,0.0034715969065982227,12.96728349298325,0.31304126062817655,0.028002451641881032,True
TOFU_grad_diff,separability_max,0.9956151587677314,0.9974268571155542,0.1819677344070504,0.29519885051389005,0.03813435546382521,True
TOFU_grad_diff,separability_min,0.985404436260099,0.9847769345737016,-0.06367960842341165,-0.1288031290857362,0.3635210347721589,False
TOFU_grad_diff,centrality_mean,1.0017701698538306,0.9979333367759632,-0.38300532330956266,-0.07798239960028099,0.5819683344754294,False
TOFU_grad_diff,centrality_std,0.17212626475129092,0.15545354189099325,-9.686332811781199,-0.4912598781632856,0.0006303957343502777,True
TOFU_grad_diff,centrality_max,1.3205900396162162,1.2899153522909534,-2.322801657218112,-0.2989097935630364,0.03580053301728807,True
TOFU_grad_diff,centrality_min,0.6829275635903953,0.7166703391885137,4.940901114127033,0.32315510038579626,0.023369468345080146,True
TOFU_grad_diff,isolation_mean,1.0,1.0,0.0,0.0,,False
TOFU_grad_diff,isolation_std,0.0,0.0,0.0,0.0,,False
TOFU_grad_diff,isolation_max,1.0,1.0,0.0,0.0,,False
TOFU_grad_diff,isolation_min,1.0,1.0,0.0,0.0,,False
TOFU_grad_diff,cluster_compactness_mean,0.0336154219591619,0.0278060142278458,-17.281971763953248,0.0,0.0,True
TOFU_grad_diff,cluster_compactness_std,0.0031898338219112005,0.005743938932308897,80.07016205212206,1362386196095148.5,0.0,True
TOFU_grad_diff,cluster_compactness_max,0.040497088816488704,0.0391928782094827,-3.2205045970489157,-264478319020783.9,0.0,True
TOFU_grad_diff,cluster_compactness_min,0.029368004150635393,0.021161962282604897,-27.94211627708774,-1488404827426253.8,0.0,True
TOFU_grad_diff,cross_layer_consistency_mean,0.603368,0.5383150000000001,-10.781645695495936,-3.4060052312905507,9.474535720940403e-61,True
TOFU_grad_diff,cross_layer_consistency_std,0.00038583299999999987,0.00039312099999999997,1.8889001200001296,0.02212607184112166,0.8758338313680154,False
TOFU_grad_diff,cross_layer_consistency_max,0.603368,0.5383150000000001,-10.781645695495936,-3.4060052312905507,9.474535720940403e-61,True
TOFU_grad_diff,cross_layer_consistency_min,0.603368,0.5383150000000001,-10.781645695495936,-3.4060052312905507,9.474535720940403e-61,True
TOFU_grad_ascent,local_density_mean,1.6730859997448357,1.8101062226039821,8.189670039677788,0.541021720219348,0.00017480593742450187,True
