experiment,geometry,target,feature,pearson_r,pearson_p,spearman_r,spearman_p,significant,direction,n
HP,base,Prompt,isolation_max,,,,,False,-,100
HP,base,Prompt,isolation_min,,,,,False,-,100
HP,base,Prompt,cluster_compactness_mean,,,,,False,-,100
HP,base,Prompt,cluster_compactness_std,,,,,False,-,100
HP,base,Prompt,cluster_compactness_max,,,,,False,-,100
HP,base,Prompt,cluster_compactness_min,,,,,False,-,100
HP,base,Prompt,cross_layer_consistency_mean,0.11714820785561368,0.2457413799319549,0.09509713037053442,0.3466278034053174,False,+,100
HP,base,Prompt,cross_layer_consistency_std,0.1273448595400319,0.20673815777569893,0.09759212681563227,0.3340643111050847,False,+,100
HP,base,Prompt,cross_layer_consistency_max,0.11714820785561368,0.2457413799319549,0.09509713037053442,0.3466278034053174,False,+,100
HP,base,Prompt,cross_layer_consistency_min,0.11714820785561368,0.2457413799319549,0.09509713037053442,0.3466278034053174,False,+,100
HP,base,Embedding,local_density_mean,0.11625854249247752,0.24937051815299816,0.058703108408595626,0.5618125908200446,False,+,100
HP,base,Embedding,local_density_std,0.02048568366480074,0.8396802505023265,-0.09155339564789121,0.364973986085364,False,+,100
HP,base,Embedding,local_density_max,0.09954708822819795,0.3244248631481976,0.013215721475085334,0.8961697822389056,False,+,100
HP,base,Embedding,local_density_min,0.1226302558501359,0.22418364863902035,0.0765940938731157,0.44879540575365273,False,+,100
HP,base,Embedding,separability_mean,-0.1193437929087825,0.23694167065258376,-0.1502024993569389,0.13579961057432008,False,-,100
HP,base,Embedding,separability_std,-0.13414843986896954,0.18330690902836153,-0.26885082426373247,0.006836696192308582,False,-,100
HP,base,Embedding,separability_max,-0.14141120124909334,0.16049870271583933,-0.1930513709696791,0.05430617429100295,False,-,100
HP,base,Embedding,separability_min,-0.05897994599647029,0.5599660077406222,-0.06077843186265163,0.5480406881957539,False,-,100
HP,base,Embedding,centrality_mean,-0.07066909940810086,0.48475179988876427,-0.15583441802407977,0.1215677333176975,False,-,100
HP,base,Embedding,centrality_std,0.08633836803458585,0.3930355961815098,0.11927323643013382,0.2372209990992691,False,+,100
HP,base,Embedding,centrality_max,0.08558506726381589,0.3971927931288443,0.07069986666531348,0.4845612013878239,False,+,100
HP,base,Embedding,centrality_min,-0.14054599191234807,0.16309933401171064,-0.14821204043074393,0.1411215380149912,False,-,100
HP,base,Embedding,isolation_mean,,,,,False,-,100
HP,base,Embedding,isolation_std,,,,,False,-,100
HP,base,Embedding,isolation_max,,,,,False,-,100
HP,base,Embedding,isolation_min,,,,,False,-,100
HP,base,Embedding,cluster_compactness_mean,,,,,False,-,100
HP,base,Embedding,cluster_compactness_std,,,,,False,-,100
HP,base,Embedding,cluster_compactness_max,,,,,False,-,100
HP,base,Embedding,cluster_compactness_min,,,,,False,-,100
HP,base,Embedding,cross_layer_consistency_mean,-0.007740958232691096,0.9390710467469527,-0.0475211260529757,0.6387108035366045,False,-,100
HP,base,Embedding,cross_layer_consistency_std,0.103313235786593,0.306362919774018,0.05143505784103097,0.6112987010908643,False,+,100
HP,base,Embedding,cross_layer_consistency_max,-0.007740958232691096,0.9390710467469527,-0.0475211260529757,0.6387108035366045,False,-,100
HP,base,Embedding,cross_layer_consistency_min,-0.007740958232691096,0.9390710467469527,-0.0475211260529757,0.6387108035366045,False,-,100
HP,unlearned,Unlearning,local_density_mean,0.06108170618907093,0.5460419954567226,0.10927063139422764,0.2791580522596325,False,+,100
HP,unlearned,Unlearning,local_density_std,0.05197922860502984,0.6075284473512526,0.11001490931556616,0.2758766504167266,False,+,100
HP,unlearned,Unlearning,local_density_max,0.06355141951035127,0.5298993571982408,0.1047411686157961,0.2996897244490281,False,+,100
HP,unlearned,Unlearning,local_density_min,0.03974539708581938,0.6946059369999608,0.06334868364764117,0.5312154354856808,False,+,100
HP,unlearned,Unlearning,separability_mean,-0.12576613951577206,0.2124683896528806,-0.125357667036873,0.21396922841348437,False,-,100
HP,unlearned,Unlearning,separability_std,-0.243031631452697,0.014833922786195611,-0.13518213559854145,0.1799236888047779,True,-,100
HP,unlearned,Unlearning,separability_max,-0.13350357238716223,0.1854408914280227,-0.14564455666421428,0.14821751320902266,False,-,100
HP,unlearned,Unlearning,separability_min,-0.032219604986604505,0.7503120833066207,-0.01233374841075256,0.9030641901776508,False,-,100
HP,unlearned,Unlearning,centrality_mean,-0.035351177504671885,0.7269568609051356,-0.052439695829165196,0.6043461327664577,False,-,100
HP,unlearned,Unlearning,centrality_std,0.12555389295074532,0.21324730407102183,0.062094043723099096,0.5393961796224214,False,+,100
HP,unlearned,Unlearning,centrality_max,0.08614032923603922,0.3941259782124325,-0.022838699643359054,0.821555311792722,False,+,100
