Question,Geometry,Target,R2_linear
Q1,Base,Unlearning_Success,0.09064163686218696
Q2,Base,Extraction_Success,-0.21290934760102354
Q3,Unlearned,Unlearning_Success,-0.003691166232379972
Q4,Unlearned,Extraction_Success,-0.10790485870923483
